image_id,kind,x,y,h_c,ring,patch_size,orig_path,radius_px,gamma_decay,combine_mode,codec
Test_SRC0027,hot,83,276,0.6468665599822998,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_000_x83_y276.png,60,1.6,max,JPEG
Test_SRC0027,hot,476,54,0.6863514184951782,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_001_x476_y54.png,60,1.6,max,JPEG
Test_SRC0027,hot,600,442,0.579228937625885,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_002_x600_y442.png,60,1.6,max,JPEG
Test_SRC0027,hot,453,48,0.9632124900817871,1,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_003_x453_y48.png,60,1.6,max,JPEG
Test_SRC0027,hot,92,237,0.6451379656791687,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_004_x92_y237.png,60,1.6,max,JPEG
Test_SRC0027,hot,95,295,0.5450791716575623,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_005_x95_y295.png,60,1.6,max,JPEG
Test_SRC0027,hot,420,65,0.5099650025367737,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_006_x420_y65.png,60,1.6,max,JPEG
Test_SRC0027,hot,531,452,0.4906701445579529,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_007_x531_y452.png,60,1.6,max,JPEG
Test_SRC0027,hot,134,231,0.5062500834465027,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_008_x134_y231.png,60,1.6,max,JPEG
Test_SRC0027,hot,142,243,0.5513133406639099,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_009_x142_y243.png,60,1.6,max,JPEG
Test_SRC0027,hot,114,238,0.766287088394165,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_010_x114_y238.png,60,1.6,max,JPEG
Test_SRC0027,hot,552,456,0.7363880276679993,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_011_x552_y456.png,60,1.6,max,JPEG
Test_SRC0027,hot,454,11,0.6654397249221802,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_012_x454_y11.png,60,1.6,max,JPEG
Test_SRC0027,hot,101,241,0.780458927154541,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_013_x101_y241.png,60,1.6,max,JPEG
Test_SRC0027,hot,570,399,0.5734446048736572,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_014_x570_y399.png,60,1.6,max,JPEG
Test_SRC0027,hot,112,283,0.8132348656654358,2,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_015_x112_y283.png,60,1.6,max,JPEG
Test_SRC0027,hot,452,40,0.9948223233222961,0,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_016_x452_y40.png,60,1.6,max,JPEG
Test_SRC0027,hot,105,230,0.6239871382713318,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_017_x105_y230.png,60,1.6,max,JPEG
Test_SRC0027,hot,130,283,0.699186384677887,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_018_x130_y283.png,60,1.6,max,JPEG
Test_SRC0027,hot,77,251,0.5635738968849182,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_019_x77_y251.png,60,1.6,max,JPEG
Test_SRC0027,hot,566,448,0.9025542736053467,1,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_020_x566_y448.png,60,1.6,max,JPEG
Test_SRC0027,hot,433,26,0.789268970489502,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_021_x433_y26.png,60,1.6,max,JPEG
Test_SRC0027,hot,456,80,0.4885668456554413,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_022_x456_y80.png,60,1.6,max,JPEG
Test_SRC0027,hot,434,45,0.8733476996421814,2,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_023_x434_y45.png,60,1.6,max,JPEG
Test_SRC0027,hot,487,53,0.5001621246337891,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_024_x487_y53.png,60,1.6,max,JPEG
Test_SRC0027,hot,119,222,0.4606375992298126,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_025_x119_y222.png,60,1.6,max,JPEG
Test_SRC0027,hot,104,252,0.9217458963394165,1,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_026_x104_y252.png,60,1.6,max,JPEG
Test_SRC0027,hot,562,434,0.9868703484535217,0,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_027_x562_y434.png,60,1.6,max,JPEG
Test_SRC0027,hot,559,413,0.7971780896186829,2,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_028_x559_y413.png,60,1.6,max,JPEG
Test_SRC0027,hot,444,43,0.9726721048355103,0,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_029_x444_y43.png,60,1.6,max,JPEG
Test_SRC0027,hot,417,40,0.6154974699020386,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_030_x417_y40.png,60,1.6,max,JPEG
Test_SRC0027,hot,557,443,0.9163299798965454,1,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_031_x557_y443.png,60,1.6,max,JPEG
Test_SRC0027,hot,602,418,0.48988115787506104,5,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_032_x602_y418.png,60,1.6,max,JPEG
Test_SRC0027,hot,589,444,0.7523270845413208,3,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_033_x589_y444.png,60,1.6,max,JPEG
Test_SRC0027,hot,94,267,0.8579302430152893,2,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_034_x94_y267.png,60,1.6,max,JPEG
Test_SRC0027,hot,445,61,0.8190039396286011,2,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_035_x445_y61.png,60,1.6,max,JPEG
Test_SRC0027,hot,79,260,0.6330959796905518,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_036_x79_y260.png,60,1.6,max,JPEG
Test_SRC0027,hot,84,286,0.5559351444244385,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_037_x84_y286.png,60,1.6,max,JPEG
Test_SRC0027,hot,448,22,0.8397521376609802,2,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_038_x448_y22.png,60,1.6,max,JPEG
Test_SRC0027,hot,598,453,0.5342875719070435,4,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_hot_039_x598_y453.png,60,1.6,max,JPEG
Test_SRC0027,cold,338,238,0.0,7,20,c:\Users\YehonatanR\OneDrive\Documents\HIT Computer Science\3rd\PixelQuality\PythonProject\dataset\orig_patches\Test_SRC0027_cold_000_x338_y238.png,60,1.6,max,JPEG
